[START OF SIMULATION]
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000257,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000257]=0X59
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X59
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000258,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000258]=0X20
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X20
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000259,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000259]=0X5A
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X5A
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000025A,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000025A]=0X45
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X45
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000025B,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000025B]=0X52
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X52
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000025C,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000025C]=0X4F
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X4F
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000025D,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
